#OTU ID	JQ1	JQ10	JQ11	JQ12	JQ13	JQ14	JQ15	JQ2	JQ3	JQ4	JQ5	JQ6	JQ7	JQ8	JQ9	PLJ1	PLJ11	PLJ12	PLJ13	PLJ14	PLJ15	PLJ16	PLJ17	PLJ18	PLJ2	PLJ3	PLJ4	PLJ6	PLJ8	PLJ9
649f026cd615015b1c0f8e760d309122	0	0	0	0	0	0	0	0	0	0	0	0	6	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a91a85cf6eb55ead332be5dd3e31123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ebf82fd63946dbd5a58e8767f016d9d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29abf79937c29f1d4d7d5739225d3b22	0	0	0	0	0	0	0	0	0	19	0	0	0	0	44	58	82	105	135	113	137	111	171	110	42	102	50	141	88	81
6cd521d4f7f2f49c4c86e06f49e576d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3d0fdaba5562129fdce740dd2c09f772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6c52593f44c5787de4b040d7d3b38db6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca6c2b3b469c08212142e8821c65882a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9db70b1f87bcf936402ea019a66f2bea	0	0	0	0	0	0	0	0	0	0	0	0	17	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8821f586cf588220a38594f50af81341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b8c4ed03d7d91546b9f6ad80b80135a3	22	0	0	0	193	22	0	0	0	0	0	0	66	488	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
