ASV	Taxon	Phylum	Class	Order	Family	Genus	Species
bd9cd226c2ce6800376ed066f61fcbbe	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cytophagaceae	Cytophaga	Uncultured Bacteroidetes
3301315810708696e06931382bc2ef3e	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	Uncultured bacterium
d0d414c71219beb3890d8156efb147b3	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	C0119	Uncultured Chloroflexi
b7c364e38c0e16da9a3f57219f25ca9e	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	Uncultured	Uncultured bacterium
9a82e1a6ef16ad262d7a9a7eb79a1717	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unknown
ceae349b69948edea38949854ddbb6ff	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Uncultured	Unknown
86e20d83ddf826b2b5c78d74131e1507	Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	Uncultured bacterium
d391bf0cba795ed3fd435fe3eb362f22	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
60e66cd1aa9e9f105d455868a692487e	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	Uncultured bacterium
f02a09fde14263793bd0bffe62bf6465	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	Uncultured Actinoallomurus
f6aa7512c75af39b52c755d2ae64431e	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	Uncultured soil
5751d0b77087af9be8d3d1761fcd3dfb	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	Uncultured bacterium
8beea84c89bd87c012543ea0f488d16c	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unknown	Unknown
adb2f25e8c6b9541d1d5a8ae6a61e660	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	Unknown
bb1b3639f2b96e3cac798a50f454ff87	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	WWH38	WWH38	Uncultured bacterium
21a214f47057a6eb3b44c240949e9f5f	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
319b815afe9c41888140c0b531a9fc50	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured planctomycete
f0f656de93fe9420f7488a182222bf8d	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	Uncultured	Uncultured	Unknown
58ae7eb8ecaf93ace6b19211d4359dc7	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	Methylacidiphilaceae	Uncultured	Uncultured bacterium
a784af96ba200686a106d0c43fb65d01	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
08f65d2efb9ce7f32abbef504d8efda1	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Uncultured forest
59588c73d9055ead644734654c78af99	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
b9ad52fd0c6ba6e559d2b2d9bfb44d0c	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales	Saccharimonadales	Uncultured soil
c3299088748a145f30a451740184e0ad	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Metagenome
4caf1292aa20c517fabb3537bf9bd167	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
fede388572d31fd9f5cb37e906c3444e	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
76962b0969359e61ec45c8019c1d1486	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Candidatus Obscuribacter	Uncultured bacterium
dcf7a8b3b9a08b3e3327458ce303413a	Bacteria	Patescibacteria	Parcubacteria	Candidatus Zambryskibacteria	Candidatus Zambryskibacteria	Candidatus Zambryskibacteria	Parcubacteria group
0558cf34da830b24542a4dd23167fea3	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Unknown	Unknown
8085c37a8fbac51f1d77e9fb4af5e889	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Unknown	Unknown
c5f1881599addeb2fc44c4bb4f8fcd42	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	Uncultured Aquicella
efbfec0933c045ef706324898b5868f5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	env.OPS 17	Unknown
841b8753dee85a9d1577093c89648447	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	Unknown
8bd9811814abe9a483e362dcbdecdc15	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadales	Armatimonadales	Uncultured Chloroflexi
63c86d6da03c206bb6e488741c2ca98f	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unknown
daa1104ebf9cf338cec85f6de68805f0	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Uncultured	Unknown
c6add440946db591badaf51b226106b3	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	Uncultured bacterium
96dccb53652b1339d3b3642a5876d8f1	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	Uncultured	Metagenome
72571bb1b82b09c764ce7e815cd60796	Bacteria	Proteobacteria	Alphaproteobacteria	Unknown	Unknown	Unknown	Unknown
6764614602d95b11d278e15605da6d33	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured planctomycete
72bf6e8b97fe027d70a9e4afea2bf947	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	WD2101 soil group	Uncultured bacterium
001a1c5a091507293a1793c75210b669	Bacteria	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
239bb3d9f34cd8d38ed355743385f982	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Metagenome
128841d32915b3ed87f7f31be6b937ee	Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	Unknown
c4ff0180ad19a7f319552fbec5f5e9f9	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Uncultured bacterium
17144ba056297faa6100b70448531a99	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Uncultured	Unknown
a1ce4cfc9766083648f52b90272300ca	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Unknown
5fd2d4904350a41cce5bd724abeb8a24	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus
6a95b76792c47c677f4df9f249f29579	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae	Unknown
c982086c4e684491d57299e79edbc272	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	Uncultured bacterium
f01c4c4f11914229180686c3a6336897	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Uncultured	Unknown
